PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
NC4032018,DURHAM COUNTY ROUGEMONT WATER SYSTEM,Community water system,Ground water,Durham,ROUGEMONT,65,7,1,7
NC0332010,"DURHAM, CITY OF",Community water system,Surface water,Durham,DURHAM,"292,743",26,68,97
NC0351154,DUTCHESS DOWNS MH S/D,Community water system,Ground water,Johnston,CLAYTON,185,7,52,18
NC0424102,DUTCHESS FOREST S/D,Community water system,Ground water,Columbus,BRUNSWICK,81,7,65,47
NC4392116,DUXFORD S/D,Community water system,Ground water,Wake,RALEIGH,76,4,40,17
NC4392128,EAGLE CREEK S/D,Community water system,Ground water,Wake,RALEIGH,223,10,1,17
NC0180224,EAGLE LANDING S/D,Community water system,Ground water,Rowan,CHINA GROVE,112,5,9,31
NC4392195,EAGLES CROSSING S/D,Community water system,Ground water,Wake,KNIGHDALE,196,7,92,16
NC0392394,EAGLEWOOD FARMS S/D,Community water system,Ground water,Wake,WENDELL,102,4,3,17
NC0122107,EAGLE`S VIEW S/D,Community water system,Ground water,Clay,HAYESVILLE,127,7,78,24
NC0309050,"EAST ARCADIA, TOWN OF",Community water system,Ground water,Bladen,EAST ARCADIA,609,9,125,57
NC0299025,"EAST BEND, TOWN OF",Community water system,Surface water purchased,Yadkin,EAST BEND,"1,466",15,124,87
NC0136320,EAST CHESTNUT ST EXT,Community water system,Ground water,Gaston,STANLEY,213,10,3,33
NC0136243,EAST GASTON MHP,Community water system,Ground water,Gaston,MCADENVILLE,124,4,24,33
NC5063011,EAST MOORE WATER DISTRICT,Community water system,Surface water purchased,Moore,CARTHAGE,"7,023",7,8,31
NC0112148,EAST SHORES S/D,Community water system,Surface water purchased,Burke,MORGANTON,350,9,2,22
NC0180060,"EAST SPENCER, TOWN OF",Community water system,Surface water purchased,Rowan,EAST SPENCER,"1,550",4,17,80
NC0474015,EASTERN PINES WATER CORP,Community water system,Surface water purchased,Pitt,GREENVILLE,"22,230",24,8,94
NC0326280,EASTGATE SD FAYETTEVILLE PWC,Community water system,Surface water purchased,Cumberland,FAYETTEVILLE,205,7,20,44
NC7016013,EASTMAN CREEK LANDING S/D,Community water system,Ground water purchased,Carteret,BEAUFORT,335,3,16,21
NC5026027,EASTOVER SANITARY DISTRICT,Community water system,Surface water purchased,Cumberland,EASTOVER,"7,172",6,2,17
NC0160137,EASTWOOD FOREST MHP,Community water system,Ground water,Mecklenburg,CHARLOTTE,366,8,18,33
NC3095002,ECHOTA S/D,Community water system,Ground water,Watauga,BOONE,800,18,57,28
NC0362562,ECKERD CANDOR,Community water system,Ground water,Montgomery,CANDOR,92,5,56,31
NC0197606,ECKERD OF BOOMER,Community water system,Ground water,Wilkes,BOOMER,33,4,20,19
NC0111156,EDEN GLENN MHP,Community water system,Ground water,Buncombe,WEAVERVILLE,147,6,72,48
NC0279010,"EDEN, CITY OF",Community water system,Surface water,Rockingham,EDEN,"15,023",10,11,123
NC0421010,"EDENTON, TOWN OF",Community water system,Ground water,Chowan,EDENTON,"5,500",13,58,100
NC0433050,EDGECOMBE WATER & SEWER DISTRICT,Community water system,Surface water purchased,Edgecombe,TARBORO,"12,700",21,31,47
NC0392127,EDGEMONT MHP,Community water system,Ground water,Wake,WENDELL,63,7,236,19
NC0291104,EDGEWOOD ESTATES,Community water system,Ground water,Vance,HENDERSON,48,4,26,23
NC0180161,EDGEWOOD S/D,Community water system,Ground water,Rowan,CHINA GROVE,259,7,39,39
NC0136128,EDGEWOOD S/D,Community water system,Ground water,Gaston,GASTONIA,193,10,69,38
NC0392249,EL CAMINO ACRES S/D,Community water system,Ground water,Wake,KNIGHTDALE,47,4,71,20
NC0157155,EL SHADDAI,Community water system,Ground water,Macon,AQUONE,53,4,66,15
NC6070001,ELIZABETH CITY ANNEX,Community water system,Ground water purchased,Pasquotank,ELIZABETH CITY,536,3,0,17
NC0470010,"ELIZABETH CITY, CITY OF",Community water system,Ground water,Pasquotank,ELIZABETH CITY,"19,187",28,4,142
NC0309010,"ELIZABETHTOWN, TOWN OF",Community water system,Ground water,Bladen,ELIZABETHTOWN,"5,311",17,25,107
NC0106025,"ELK PARK, TOWN OF",Community water system,Ground water,Avery,ELK PARK,495,7,58,107
NC0106118,ELK RIVER CLUB DEVELOPMENT,Community water system,Ground water,Avery,BANNER ELK,732,8,41,28
NC0286020,"ELKIN, TOWN OF",Community water system,Surface water,Surry,ELKIN,"4,024",12,12,93
NC0181038,ELLENBORO TOWN OF,Community water system,Surface water purchased,Rutherford,ELLENBORO,"2,258",3,21,31
NC0377020,ELLERBE TOWN OF,Community water system,Surface water purchased,Richmond,ELLERBE,"1,640",3,31,47
NC4092065,ELLIOTT LANDING S/D,Community water system,Ground water,Wake,WILLOW SPRINGS,218,8,0,10
NC0498020,"ELM CITY, TOWN OF",Community water system,Surface water purchased,Wilson,ELM CITY,"1,720",13,81,40
NC0201025,"ELON, TOWN OF",Community water system,Surface water purchased,Alamance,ELON,"12,752",13,117,68
NC0392128,EMERALD VILLAGE S/D,Community water system,Ground water,Wake,RALEIGH,125,4,38,17
NC0102015,ENERGY UNITED WATER CORP,Community water system,Surface water purchased,Alexander,HIDDENITE,"13,445",9,23,309
NC0442025,ENFIELD WATER SYSTEM,Community water system,Surface water,Halifax,ENFIELD,"2,240",11,77,66
NC0180195,ENOCH AVE & TURNER DR MHP,Community water system,Ground water,Rowan,KANNAPOLIS,71,6,10,29
NC4092144,ETHAN MEADOWS S/D,Community water system,Ground water,Wake,WAKE FOREST,43,7,0,3
NC0368162,EUGLENA JUNCTION,Community water system,Ground water,Orange,CHAPEL HILL,79,5,89,37
NC0459114,"EVERETTS, TOWN OF",Community water system,Ground water purchased,Martin,EVERETTS,419,2,17,38
NC0424030,"FAIR BLUFF, TOWN OF",Community water system,Ground water,Columbus,FAIR BLUFF,930,9,46,54
NC4092001,FAIR OAKS S/D,Community water system,Ground water,Wake,HOLLY SPRINGS,216,8,0,13
NC0136242,FAIRFAX S/D,Community water system,Ground water,Gaston,GASTONIA,150,7,63,31
NC0180110,FAIRFIELD ACRES,Community water system,Ground water,Rowan,SALISBURY,158,7,42,76
NC0145149,FAIRFIELD APARTMENTS,Community water system,Surface water purchased,Henderson,FLETCHER,56,5,111,31
NC0425132,FAIRFIELD HARBOUR,Community water system,Ground water,Craven,BRIDGETON,"4,610",10,4,61
NC0181126,FAIRFIELD MOUNTAINS  NO 1,Community water system,Ground water,Rutherford,LAKE LURE,"1,773",14,7,20
NC0181133,FAIRFIELD MTNS-APPLE VALLEY,Community water system,Ground water,Rutherford,LAKE LURE,945,12,19,32
NC0150113,FAIRFIELD SAPPHIRE,Community water system,Ground water,Jackson,CASHIERS,"3,149",26,29,107
NC0279134,FAIRGROVE MHP,Community water system,Ground water,Rockingham,REIDSVILLE,244,8,78,46
NC0378025,"FAIRMONT, TOWN OF",Community water system,Ground water,Robeson,FAIRMONT,"2,837",11,37,62
NC0158025,FAIRVIEW WATER ASSOC,Community water system,Ground water,Madison,HOT SPRINGS,59,5,94,69
NC0392129,FAIRVIEW WOODED ACRES MH S/D,Community water system,Ground water,Wake,HOLLY SPRINGS,300,11,22,26
NC0105432,FAIRWAY RIDGE WATER ASSOC INC,Community water system,Ground water,Ashe,WEST JEFFERSON,173,9,91,27
NC0431040,"FAISON, TOWN OF",Community water system,Ground water,Duplin,FAISON,"1,410",15,8,73
NC0180055,"FAITH, TOWN OF",Community water system,Ground water,Rowan,FAITH,"1,161",17,20,115
NC0326035,FALCON WATER SYSTEM,Community water system,Surface water purchased,Cumberland,FALCON,714,3,30,36
NC4092088,FALLS PRESERVE S/D,Community water system,Ground water,Wake,RALEIGH,36,4,0,7
NC0136337,FALLSCREST II S/D,Community water system,Ground water,Gaston,GASTONIA,356,11,46,70
NC0123035,"FALLSTON, TOWN OF",Community water system,Surface water purchased,Cleveland,FALLSTON,589,7,20,89
NC0392131,FARM ROAD TRAILER PARK,Community water system,Ground water,Wake,RALEIGH,28,3,122,29
NC0286123,FARM WATER SYSTEM (THE),Community water system,Ground water,Surry,MT AIRY,157,7,65,24
NC0353127,FARM WATER WORKS,Community water system,Ground water,Lee,SANFORD,167,8,159,43
NC0474020,"FARMVILLE, TOWN OF",Community water system,Surface water purchased,Pitt,FARMVILLE,"8,458",32,28,106
NC0136290,FARMWOOD S/D(COUNTRYWOODS S/D),Community water system,Ground water,Gaston,GASTONIA,246,6,40,30
NC0326010,FAYETTEVILLE PUBLIC WORKS COMM,Community water system,Surface water,Cumberland,FAYETTEVILLE,"205,118",8,8,173
NC0392060,FELTONSVILLE COMM ORGANIZATION,Community water system,Surface water purchased,Wake,APEX,225,2,91,28
NC0113232,FIELDSTONE/COLD SPRINGS DEV,Community water system,Ground water,Cabarrus,CONCORD,201,11,3,68
NC0465119,FIGURE 8 ISLAND,Community water system,Ground water,New Hanover,WILMINGTON,999,13,28,41
NC1081024,FIREFLY COVE,Community water system,Ground water,Rutherford,LAKE LURE,99,6,8,17
NC0425040,FIRST CRAVEN SANITARY DISTRICT,Community water system,Ground water,Craven,BRIDGETON,"6,325",10,1,90
NC4092179,FISH HAWK RANCH S/D,Community water system,Ground water,Wake,WILLOW SPRINGS,74,7,0,2
NC0180111,FISHERMAN`S COVE WATER SYSTEM,Community water system,Ground water,Rowan,SALISBURY,348,6,162,76
NC0102127,FIVE OAKS S/D,Community water system,Ground water,Alexander,BETHLEHEM,99,7,65,33
NC0157102,FLAT MOUNTAIN ESTATES,Community water system,Ground water,Macon,HIGHLANDS,109,8,129,44
NC0136133,FLEETWOOD ACRES S/D,Community water system,Ground water,Gaston,GASTONIA,271,8,57,38
NC0105103,FLEETWOOD FALLS WATER SYSTEM,Community water system,Ground water,Ashe,FLEETWOOD,492,14,24,37
NC0145113,FLETCHER ACADEMY INC,Community water system,Ground water,Henderson,FLETCHER,965,8,87,45
NC0351195,FLOWERS PLANTATION,Community water system,Surface water purchased,Johnston,CLAYTON,"8,443",9,10,45
NC0136135,FONTAIN VILLAGE,Community water system,Ground water,Gaston,GASTONIA,287,10,73,31
NC0136291,FOREST ACRES,Community water system,Ground water,Gaston,MCADENVILLE,97,6,41,24
NC2002001,FOREST ACRES WATER CORPORATION,Community water system,Ground water,Alexander,TAYLORSVILLE,79,3,12,29
NC0181010,"FOREST CITY, TOWN OF",Community water system,Surface water,Rutherford,FOREST CITY,"21,366",5,18,183
NC0136372,FOREST COVE-SECT II,Community water system,Ground water,Gaston,BELMONT,83,4,2,29
NC4392142,FOREST GLEN MASTER,Community water system,Ground water,Wake,FUQUAY-VARINA,274,6,2,12
NC0136359,FOREST HILL MHP,Community water system,Ground water,Gaston,DALLAS,89,5,151,81
NC0150107,FOREST HILLS WATER SYSTEM,Community water system,Ground water,Jackson,CULLOWHEE,323,7,70,27
NC0113163,FOREST PINES S/D,Community water system,Ground water,Cabarrus,CONCORD,76,4,188,72
NC0136146,FOREST POINTE S/D,Community water system,Ground water,Gaston,GASTONIA,107,6,1,18
NC0118269,FOREST RIDGE S/D,Community water system,Ground water,Catawba,HICKORY,292,7,1,51
NC0201112,FOREST VALLEY MHP,Community water system,Ground water,Alamance,BURLINGTON,66,4,159,42
NC0136205,FORESTBROOK S/D,Community water system,Ground water,Gaston,GASTONIA,216,12,14,32
NC6096002,FORK TOWNSHIP PURCHASE,Community water system,Surface water purchased,Wayne,GOLDSBORO,"2,540",5,0,12
NC0496060,FORK TOWNSHIP SANITARY DISTRICT,Community water system,Ground water,Wayne,GOLDSBORO,"9,324",49,24,77
NC0474050,"FOUNTAIN, TOWN OF",Community water system,Surface water purchased,Pitt,FOUNTAIN,427,6,21,75
NC0351035,"FOUR OAKS, TOWN OF",Community water system,Surface water purchased,Johnston,FOUR OAKS,"2,974",6,32,40
NC0235101,FOX PARK MHP,Community water system,Ground water,Franklin,LOUISBURG,158,7,189,21
NC0145144,FOX RIDGE S/D,Community water system,Ground water,Henderson,HENDERSONVILLE,457,6,31,27
NC0332116,FOX RUN S/D,Community water system,Ground water,Durham,DURHAM,261,7,9,31
NC0136261,FOX RUN S/D,Community water system,Ground water,Gaston,GASTONIA,516,8,15,43
NC0392100,FOX-N-HOUNDS S/D,Community water system,Ground water,Wake,ZEBULON,87,4,2,14
NC0368144,FOXBORO ESTATES,Community water system,Ground water,Orange,CHAPEL HILL,48,6,9,25
NC0241238,FOXBURY MEADOWS S/D,Community water system,Ground water,Guilford,OAK RIDGE,79,4,27,18
NC0241208,FOXBURY S/D,Community water system,Ground water,Guilford,OAK RIDGE,61,4,28,16
NC0136154,FOXFIRE S/D,Community water system,Ground water,Gaston,GASTONIA,61,4,4,31
NC0363479,"FOXFIRE VILLAGE, TOWN OF",Community water system,Ground water,Moore,FOXFIRE VILLAGE,"1,701",19,166,76
NC4392163,FOXMOOR S/D,Community water system,Ground water,Wake,RALEIGH,203,7,1,11
NC0241150,FRA BRAN RENTALS,Community water system,Ground water,Guilford,GREENSBORO,66,3,46,26
NC0235030,FRANKLIN COUNTY WATER & SEWER,Community water system,Surface water purchased,Franklin,FRANKLINTON,"17,689",13,27,69
NC0157010,"FRANKLIN, TOWN OF",Community water system,Surface water,Macon,FRANKLIN,"9,650",5,46,190
NC0235010,"FRANKLINTON, TOWN OF",Community water system,Surface water,Franklin,FRANKLINTON,"2,380",12,100,115
NC0276035,"FRANKLINVILLE, TOWN OF",Community water system,Surface water purchased,Randolph,FRANKLINVILLE,"1,400",5,66,44
NC0149113,FREEMONT PARK S/D,Community water system,Ground water,Iredell,MOORESVILLE,122,4,33,35
NC0496025,"FREMONT, TOWN OF",Community water system,Ground water purchased,Wayne,FREMONT,"1,463",7,17,32
NC0145156,FRUITLAND MHP,Community water system,Ground water,Henderson,HENDERSONVILLE,75,4,5,22
NC0392055,"FUQUAY-VARINA, TOWN OF",Community water system,Surface water purchased,Wake,FUQUAY-VARINA,"30,424",14,10,118
NC0180115,GADDY MHP,Community water system,Ground water,Rowan,KANNAPOLIS,76,4,87,53
NC0136244,GALLAGHER TRAILS S/D,Community water system,Ground water,Gaston,DALLAS,106,8,43,34
NC4092027,GALLOWAY S/D,Community water system,Ground water,Wake,WAKE FOREST,231,6,1,12
NC0382020,"GARLAND, TOWN OF",Community water system,Ground water,Sampson,GARLAND,625,6,23,46
NC0351156,GARNER ESTATES MH S/D,Community water system,Ground water,Johnston,GARNER,114,8,43,23
NC0235131,GARRETT RIDGE S/D,Community water system,Ground water,Franklin,BUNN,53,4,19,12
NC0293112,GASTON HEIGHTS S/D,Community water system,Ground water,Warren,LITTLETON,72,4,3,11
NC0437020,GATES COUNTY WATER SYSTEM,Community water system,Ground water,Gates,GATESVILLE,"11,621",11,11,48
NC0392133,GAYLEE VILLAGE,Community water system,Ground water,Wake,WENDELL,465,10,3,19
NC0392352,GENTLE SLOPE SUBDIVISION,Community water system,Ground water,Wake,GARNER,38,4,57,32
NC4051010,GIBSON GLEN S/D,Community water system,Ground water,Johnston,MIDDLESEX,60,4,0,6
NC0383015,"GIBSON, TOWN OF",Community water system,Ground water purchased,Scotland,GIBSON,731,7,44,55
NC0241025,"GIBSONVILLE, TOWN OF",Community water system,Surface water purchased,Guilford,GIBSONVILLE,"7,129",14,42,64
NC0279692,GIDEON GROVE TP  NO 1,Community water system,Ground water,Rockingham,STOKESDALE,71,4,68,62
NC0112109,GINGERCAKE ACRES,Community water system,Ground water,Burke,JONAS RIDGE,265,6,71,25
NC4092155,GLEN CREEK,Community water system,Ground water,Wake,GARNER,148,6,22,8
NC2090010,GLENCROFT S/D,Community water system,Surface water purchased,Union,WINGATE,251,2,33,24
NC0160329,GLENCROFT S/D,Community water system,Ground water,Mecklenburg,MINT HILL,112,4,6,26
NC0118315,GLENCROFT S/D,Community water system,Ground water,Catawba,NEWTON,178,6,3,32
NC0392293,GLENDALE MASTER SYSTEM,Community water system,Ground water,Wake,RALEIGH,633,19,28,25
NC0136300,GLENNBURN S/D,Community water system,Ground water,Gaston,DALLAS,66,4,13,31
NC0136357,GLORIA ACRES MHP,Community water system,Ground water,Gaston,STANLEY,122,4,17,48
NC0465121,GLYNNWOOD MHP,Community water system,Ground water,New Hanover,WILMINGTON,208,6,4,46
NC0326050,"GODWIN, TOWN OF",Community water system,Surface water purchased,Cumberland,GODWIN,275,2,5,27
NC0496010,"GOLDSBORO, CITY OF",Community water system,Surface water,Wayne,GOLDSBORO,"34,959",19,7,148
NC0319025,GOLDSTON-GULF SANITARY DIST,Community water system,Surface water purchased,Chatham,GOLDSTON,"1,285",7,161,68
NC0276211,GOLDSTON`S MHP,Community water system,Ground water,Randolph,RAMSEUR,43,4,90,30
NC0136237,GOODWILL ACRES,Community water system,Ground water,Gaston,GASTONIA,137,9,100,38
NC0416130,GOOSE CREEK RESORT,Community water system,Ground water,Carteret,CAPE CARTERET,"1,600",7,19,49
NC0201015,"GRAHAM, CITY OF",Community water system,Surface water,Alamance,MEBANE,"14,308",8,12,99
NC0106108,GRANDFATHER GOLF & COUNTRY CLU,Community water system,Ground water,Avery,LINVILLE,250,7,18,40
NC0106422,GRANDFATHER HOME FOR CHILDREN,Community water system,Ground water,Avery,BANNER ELK,99,7,34,28
NC0234124,GRANDVIEW WATER SYSTEM,Community water system,Ground water,Forsyth,PFAFFTOWN,198,8,3,36
NC0114030,"GRANITE FALLS, TOWN OF",Community water system,Surface water,Caldwell,GRANITE FALLS,"7,318",5,39,125
NC0120109,GRANNY SQUIRREL,Community water system,Ground water,Cherokee,ANDREWS,142,9,63,32
NC0239103,GRANVILLE FAMILY PARK,Community water system,Ground water,Granville,OXFORD,232,10,30,35
NC0239124,GRANVILLE PINES MHP,Community water system,Ground water,Granville,STOVALL,53,3,50,21
NC2023003,GRASSY POND WATER CORPORATION,Community water system,Surface water purchased,Cleveland,GAFFNEY,"1,242",6,4,18
NC0149117,GRAYSON PARK,Community water system,Ground water,Iredell,STATESVILLE,124,7,35,32
NC4092139,GRAYSTONE S/D,Community water system,Surface water purchased,Wake,FUQUAY VARINA,50,2,3,6
NC0234183,GRAYSTONE/SMOKERISE WATER SYSTEM,Community water system,Ground water,Forsyth,KERNERSVILLE,455,19,53,48
NC0180178,GREEN ACRES MHP,Community water system,Ground water,Rowan,ENOCHVILLE,119,4,61,34
NC0454109,GREEN ACRES MHP,Community water system,Ground water,Lenoir,KINSTON,229,8,6,49
NC0180201,GREEN ACRES MHP,Community water system,Ground water,Rowan,SALISBURY,71,3,87,51
NC0195160,GREEN BRIAR APARTMENTS,Community water system,Ground water,Watauga,BOONE,35,7,23,28
NC0286106,GREEN HEIGHTS WATER SYSTEM,Community water system,Ground water,Surry,MT AIRY,36,4,49,26
NC0201030,"GREEN LEVEL, TOWN OF",Community water system,Surface water purchased,Alamance,GREEN LEVEL,"2,450",3,26,50
NC0136138,GREEN MEADOWS/HEATHER ACRES SD,Community water system,Ground water,Gaston,GASTONIA,264,7,26,35
NC0114459,GREEN MOUNTAIN PARK,Community water system,Ground water,Caldwell,LENOIR,"1,194",12,111,37
NC0113158,GREEN OAKS S/D,Community water system,Ground water,Cabarrus,CONCORD,46,4,167,59
NC0392223,GREEN PINES PARK,Community water system,Ground water,Wake,GARNER,66,3,78,29
NC0392135,GREEN PINES S/D,Community water system,Ground water,Wake,KNIGHTDALE,160,7,80,19
NC0136139,GREEN ROAD WATER SYSTEM,Community water system,Ground water,Gaston,STANLEY,38,4,81,29
NC0144489,GREEN VALLEY MHP,Community water system,Ground water,Haywood,WAYNESVILLE,110,6,141,29
NC0118251,GREENBRIAR S/D WATER SYSTEM,Community water system,Ground water,Catawba,HICKORY,158,4,82,25
NC0440106,GREENE CO REGIONAL WATER SYST,Community water system,Surface water purchased,Greene,SNOW HILL,"10,183",46,68,90
NC0431060,"GREENEVERS, TOWN OF",Community water system,Ground water,Duplin,GREENEVERS,"1,390",7,74,53
NC0425141,GREENFIELD HEIGHTS S/D,Community water system,Ground water purchased,Craven,HAVELOCK,145,2,34,29
NC0118273,GREENFIELD S/D,Community water system,Ground water,Catawba,STARTOWN,193,7,5,32
NC0286107,GREENFIELD WATER SYSTEM,Community water system,Surface water purchased,Surry,MT AIRY,244,2,79,30
NC0241010,"GREENSBORO, CITY OF",Community water system,Surface water,Guilford,GREENSBORO,"318,529",28,6,178
NC0474010,GREENVILLE UTILITIES COMM,Community water system,Surface water,Pitt,GREENVILLE,"103,140",31,7,159
NC0118264,GREENWOOD S/D,Community water system,Ground water,Catawba,CONOVER,61,5,31,32
NC0474140,GREGORY MEADOWS AT BELVOIR NO. 1,Community water system,Ground water,Pitt,GREENVILLE,124,4,35,42
NC0474142,GREGORY MEADOWS AT BELVOIR NO. 2,Community water system,Ground water,Pitt,GREENVILLE,200,6,162,39
NC4092083,GREYCLIFF MASTER,Community water system,Ground water,Wake,WAKE FOREST,235,13,2,12
NC0332111,GREYMOSS S/D,Community water system,Ground water,Durham,DURHAM,578,11,12,32
NC4092021,GREYTHORNE S/D,Community water system,Ground water,Wake,CARY,94,4,0,8
NC0474035,"GRIFTON, TOWN OF",Community water system,Surface water purchased,Pitt,GRIFTON,"2,982",8,62,66
NC0474055,"GRIMESLAND, TOWN OF",Community water system,Ground water,Pitt,GRIMESLAND,610,8,1,68
NC4392211,GRISSOM FARM S/D,Community water system,Ground water,Wake,GARNER,234,6,0,13
NC0123030,"GROVER, TOWN OF",Community water system,Surface water purchased,Cleveland,GROVER,690,3,34,58
NC0279110,GUILROCK WEST MHP,Community water system,Ground water,Rockingham,STOKESDALE,100,4,62,32
NC0442040,HALIFAX CO--HALIFAX,Community water system,Surface water purchased,Halifax,ROANOKE RAPIDS,"20,250",22,57,65
NC0442030,"HALIFAX, TOWN OF",Community water system,Surface water purchased,Halifax,HALIFAX,414,4,42,27
NC0459025,"HAMILTON, TOWN OF",Community water system,Ground water,Martin,HAMILTON,408,7,20,58
NC0377010,HAMLET WATER SYSTEM,Community water system,Surface water,Richmond,HAMLET,"10,289",7,28,112
NC7071022,HAMPSTEAD PINES,Community water system,Ground water,Pender,HAMPSTEAD,147,7,47,43
NC0195111,HAMPTON MHP,Community water system,Ground water,Watauga,BOONE,37,3,17,18
NC4092084,HAMPTON PARK SD,Community water system,Ground water,Wake,FUQUAY-VARINA,206,6,7,13
NC0392376,HAMPTON RIDGE S/D,Community water system,Ground water,Wake,RALEIGH,450,7,1,18
NC0229035,HANDY SANITARY DISTRICT,Community water system,Surface water purchased,Davidson,DENTON,"7,899",14,51,74
NC0392364,HANOVER DOWNS S/D,Community water system,Ground water,Wake,GARNER,58,4,8,19
NC0180184,HAPPY HOLLOW S/D,Community water system,Ground water,Rowan,ROCKWELL,112,6,6,62
NC0363128,HAPPY VALLEY S/D,Community water system,Ground water,Moore,WEST END,58,4,16,31
NC0160276,HARBOR CLUB S/D,Community water system,Ground water,Mecklenburg,CHARLOTTE,163,6,1,39
NC0160211,HARBOR HOUSE S/D,Community water system,Ground water,Mecklenburg,CHARLOTTE,25,7,40,45
NC0149190,HARBOR VIEW S/D,Community water system,Ground water,Iredell,MOORESVILLE,516,6,1,26
NC0149185,HARBOUR POINT S/D,Community water system,Surface water purchased,Iredell,MOORESVILLE,"3,909",55,155,194
NC0332139,HARDSCRABBLE S/D,Community water system,Ground water,Durham,DURHAM,643,19,21,26
NC0416025,HARKERS ISLAND SANITARY DIST,Community water system,Ground water,Carteret,HARKERS ISLAND,"2,358",7,5,61
NC0416221,HARKERS VILLAGE S/D,Community water system,Ground water,Carteret,HARKERS ISLAND,94,6,43,23
NC0156136,HARMONY ESTATES S/D,Community water system,Ground water,McDowell,NEBO,100,6,3,23
NC4392229,HARMONY GLEN S/D,Community water system,Ground water,Wake,CARY,74,4,1,12
NC0343045,HARNETT REGIONAL WATER,Community water system,Surface water,Harnett,LILLINGTON,"114,302",6,11,183
NC0382030,HARRELLS WATER CORP,Community water system,Ground water,Sampson,HARRELLS,"1,633",8,29,47
NC0446040,"HARRELLSVILLE, TOWN OF",Community water system,Ground water,Hertford,HARRELLSVILLE,843,5,36,63
NC0113025,"HARRISBURG, TOWN OF",Community water system,Surface water purchased,Cabarrus,HARRISBURG,"17,667",25,28,263
NC4092074,HARRISON RIDGE SUBDIVISION,Community water system,Ground water,Wake,WAKE FOREST,117,6,2,4
NC3041069,HARTMAN FARMS S/D,Community water system,Ground water,Guilford,BROWNS SUMMIT,81,4,0,13
NC0425015,HAVELOCK WATER SYSTEM,Community water system,Ground water,Craven,HAVELOCK,"14,550",15,21,109
NC0201020,"HAW RIVER, TOWN OF",Community water system,Surface water purchased,Alamance,HAW RIVER,"2,450",5,35,41
NC0118296,HAWKS RIDGE S/D,Community water system,Ground water,Catawba,HICKORY,155,7,3,35
NC0111150,HAZELWOOD HOMEOWNERS ASSOC,Community water system,Surface water purchased,Buncombe,ASHEVILLE,100,2,43,22
NC0368189,HEARTWOOD S/D,Community water system,Ground water,Orange,CHAPEL HILL,86,8,5,24
NC0351173,HEATHER DOWNS MH S/D,Community water system,Ground water,Johnston,CLAYTON,112,4,4,14
NC0332121,HEATHER GLEN S/D,Community water system,Ground water,Durham,DURHAM,255,13,0,22
NC0136255,HEATHER GLEN/HIGHLAND,Community water system,Surface water purchased,Gaston,BELMONT,132,7,3,29
NC4051001,HEATHERSTONE S/D,Community water system,Ground water,Johnston,WILLOW SPRINGS,48,4,2,11
NC4392119,HEATHERSTONE WEST S/D,Community water system,Ground water,Wake,RALEIGH,229,7,2,14
NC2060020,HEATHFIELD S/D,Community water system,Ground water,Mecklenburg,MINT HILL,168,6,3,36
NC0195176,HEAVENLY MTN RESORT-VILLAGE,Community water system,Ground water,Watauga,BOONE,25,8,5,20
NC0136239,HELMS WATER SYSTEM,Community water system,Ground water,Gaston,STANLEY,86,7,81,37
NC0291010,HENDERSON-KERR LAKE REG WTR,Community water system,Surface water,Vance,HENDERSON,"14,787",10,32,136
NC0145010,"HENDERSONVILLE, CITY OF",Community water system,Surface water,Henderson,HENDERSONVILLE,"76,073",12,68,314
NC0241234,HENSON FARMS S/D,Community water system,Ground water,Guilford,SUMMERFIELD,251,10,18,23
NC3041033,HENSON FOREST S/D,Community water system,Ground water,Guilford,SUMMERFIELD,353,9,1,41
NC0102104,HERITAGE FARMS S/D,Community water system,Surface water purchased,Alexander,BETHLEHEM,84,8,36,29
NC0157150,HERITAGE HILLS,Community water system,Ground water,Macon,FRANKLIN,74,4,13,19
NC0392137,HERITAGE SPRING ACRES,Community water system,Ground water,Wake,RALEIGH,56,4,134,30
NC0276165,HERITAGE WEST,Community water system,Ground water,Randolph,ASHEBORO,40,4,32,32
NC0118122,HERMAN ACRES S/D,Community water system,Ground water,Catawba,HICKORY,113,4,47,25
NC0149169,HERONWOOD S/D,Community water system,Ground water,Iredell,STATESVILLE,371,8,32,63
NC0446045,HERTFORD COUNTY RURAL WATER,Community water system,Ground water,Hertford,WINTON,"7,970",21,5,56
NC0472010,HERTFORD WATER SYSTEM,Community water system,Ground water,Perquimans,HERTFORD,"2,145",12,17,69
NC0118010,HICKORY CITY OF,Community water system,Surface water,Catawba,HICKORY,"64,797",7,3,648
NC0286178,HICKORY CREEK S/D,Community water system,Ground water,Surry,MOUNT AIRY,152,7,3,14
NC0136386,HICKORY CREEK/ STARRLAND W/S,Community water system,Ground water,Gaston,GASTONIA,528,11,43,27
NC0136240,HICKORY GROVE MHP,Community water system,Ground water,Gaston,DALLAS,69,4,93,36
NC0392332,HICKORY HAVEN S/D,Community water system,Ground water,Wake,WILLOW SPRINGS,51,4,36,19
NC0180425,HICKORY LANE MHP,Community water system,Ground water,Rowan,SALISBURY,83,4,28,36
NC0136303,HICKORY RIDGE S/D,Community water system,Ground water,Gaston,MOUNT HOLLY,178,6,6,25
